"County","Group","Status Detail","Platform","Search URL","Score (0-100)","Test Duration","Notes"
"Bexar","WORKING","Working — No Results Returned","generic","https://bcad.org/propertysearch/","10","435s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Blanco","WORKING","Working — Partial Data","bis","https://esearch.blancocad.com/","65","207s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Borden","BLOCKED — CAPTCHA","Blocked — Captcha / Bot Protection","bis","https://esearch.bordencad.org/","0","6s","Bot protection — may need manual lookup"
"Bosque","BLOCKED — CAPTCHA","Blocked — Captcha / Bot Protection","generic","https://www.bosquecountytaxoffice.com/search","0","32s","Bot protection — may need manual lookup"
"Bowie","WORKING","Working — Partial Data","generic","https://www.bowieappraisal.com/property-search","50","134s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Brazoria","BLOCKED — CAPTCHA","Blocked — Captcha / Bot Protection","bis","https://esearch.brazoriacad.org/","0","11s","Cloudflare challenge"
"Brazos","BLOCKED — CAPTCHA","Blocked — Captcha / Bot Protection","bis","https://esearch.brazoscad.org/","0","16s","Bot protection — may need manual lookup"
"Brewster","WORKING","Working — No Results Returned","countyfusion","https://countyfusion6.kofiletech.us/countyweb/login.do?countyname=BrewsterTX","10","434s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Briscoe","ISSUE — HANDLER FAIL","Handler Failed","generic","http://www.taxnetusa.com/texas/briscoe/","25","215s","Handler error"
"Brooks","WORKING","Working — Partial Data","bis","https://esearch.brookscad.org/","65","140s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Brown","WORKING","Working — No Results Returned","generic","http://www.brown-cad.org/","10","260s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Burleson","WORKING","Working — Partial Data","bis","https://esearch.burlesonappraisal.com/","65","137s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Burnet","WORKING","Working — No Results Returned","generic","http://www.burnet-cad.org/","10","461s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Caldwell","WORKING","Working — Partial Data","bis","https://esearch.caldwellcad.org/","65","187s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Calhoun","WORKING","Working — Partial Data","bis","https://esearch.calhouncad.org/","65","198s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Callahan","WORKING","Working — No Results Returned","isw","http://iswdataclient.azurewebsites.net/webindex.aspx?dbkey=callahancad&time=201601191609003","10","33s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Cameron","WORKING","Working — Partial Data","prodigycad","https://cameron.prodigycad.com/property-search","60","34s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Camp","WORKING","Working — Partial Data","bis","https://esearch.campcad.org/","65","210s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Carson","WORKING","Working — No Results Returned","generic","http://www.carsoncad.org","10","28s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Cass","WORKING","Working — Partial Data","bis","https://esearch.casscad.org/","65","143s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Castro","WORKING","Working — Partial Data","bis","https://esearch.castrocad.org/","65","136s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Chambers","WORKING","Working — No Results Returned","generic","http://www.chamberscad.org/","10","27s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Cherokee","WORKING","Working — Partial Data","bis","https://esearch.cherokeecad.com/","65","206s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Childress","WORKING","Working — No Results Returned","generic","http://www.childresscad.org/","10","27s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Clay","WORKING","Working — No Results Returned","generic","http://www.claycad.org/","10","38s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Cochran","WORKING","Working — Partial Data","bis","https://esearch.cochrancad.com/","65","172s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Coke","BLOCKED — CAPTCHA","Blocked — Captcha / Bot Protection","generic","http://www.cokecad.org","0","104s","Bot protection — may need manual lookup"
"Coleman","WORKING","Working — No Results Returned","ptaxpro","https://www.colemancad.org/","10","210s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Collin","BLOCKED — CAPTCHA","Blocked — Captcha / Bot Protection","generic","https://taxpublic.collincountytx.gov/search","0","117s","Challenge page"
"Collingsworth","WORKING","Working — No Results Returned","generic","http://www.collingsworthcad.org/","10","28s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Colorado","WORKING","Working — Partial Data","bis","https://esearch.coloradocad.org/","65","176s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Comal","WORKING","Working — No Results Returned","generic","http://www.comalad.org/","10","348s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Comanche","WORKING","Working — Partial Data","bis","https://esearch.comanchecad.org/","65","148s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Concho","BLOCKED — CAPTCHA","Blocked — Captcha / Bot Protection","bis","https://esearch.conchocad.org/","0","5s","Bot protection — may need manual lookup"
"Cooke","WORKING","Working — Partial Data","generic","http://www.cookecad.org/","60","42s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Coryell","WORKING","Working — Partial Data","bis","https://esearch.coryellcad.org/","70","146s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Cottle","WORKING","Working — No Results Returned","generic","http://www.cottlecad.org/","10","27s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Crane","WORKING","Working — No Results Returned","generic","https://www.cranecad.org/","10","44s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Crockett","WORKING","Working — No Results Returned","generic","http://crockettcad.org/","10","27s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Crosby","WORKING","Working — No Results Returned","ptaxpro","https://www.crosbycad.com/","10","144s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Culberson","WORKING","Working — No Results Returned","generic","http://culbersoncad.org","10","27s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Dallam","NETWORK ISSUE","Unreachable — Network Error","bis","http://esearch.dallamcad.org/","0","39s","esearch.dallamcad.org — connection timeout, no alternative URL exists"
"Dallas","WORKING","Working — No Property ID Found","generic","https://www.dallascad.org/SearchOwner.aspx","30","189s","Site reachable; failed to extract parcel/account ID from results"
"Dawson","WORKING","Working — No Results Returned","generic","http://www.dawsoncad.org/","10","27s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Deaf Smith","WORKING","Working — Partial Data","bis","https://esearch.deafsmithcad.org/","65","202s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Delta","WORKING","Working — No Results Returned","generic","https://www.delta-cad.org/","10","2s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Denton","ISSUE — HANDLER FAIL","Handler Failed","generic","https://www.dentoncad.com/","0","313s","Handler error"
"DeWitt","WORKING","Working — No Results Returned","generic","http://www.dewittcad.org/","10","28s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Dickens","WORKING","Working — No Results Returned","generic","http://www.dickenscad.org/","10","26s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Dimmit","WORKING","Working — No Results Returned","generic","https://www.dimmitcounty.org/government/departments/tax_assessor_collector.php","10","392s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Donley","WORKING","Working — No Results Returned","generic","https://donleycad.org/","10","49s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Duval","WORKING","Working — Partial Data","bis","https://esearch.duvalcad.org/","65","151s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Eastland","WORKING","Working — No Results Returned","generic","http://eastlandcad.org/","10","26s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Ector","WORKING","Working — No Results Returned","generic","http://www.ectorcad.org/","10","288s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Edwards","WORKING","Working — Partial Data","bis","https://esearch.edwardscad.org/","65","194s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"El Paso","WORKING","Working — No Results Returned","bis","https://esearch.epcad.org/","10","153s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Ellis","WORKING","Working — Partial Data","generic","https://www.elliscad.org/","60","42s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Erath","NETWORK ISSUE","Unreachable — Network Error","bis","http://esearch.erath-cad.com/","0","39s","esearch.erath-cad.com — connection timeout, no alternative URL exists"
"Falls","WORKING","Working — Partial Data","bis","https://esearch.fallscad.net/","65","147s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Fannin","ISSUE — HANDLER FAIL","Handler Failed","generic","http://www.fannincad.org/","0","130s","Handler error"
"Fayette","WORKING","Working — Partial Data","bis","https://esearch.fayettecad.org/","65","172s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Fisher","WORKING","Working — No Results Returned","generic","http://www.fishercad.org/","10","27s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Floyd","WORKING","Working — No Results Returned","isw","http://iswdataclient.azurewebsites.net/webindex.aspx?dbkey=floydcad&time=201601191610017","10","33s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Foard","WORKING","Working — No Results Returned","generic","http://www.foardcad.org/","10","26s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Fort Bend","WORKING","Working — No Results Returned","bis","https://esearch.fortbendcad.org/","10","550s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Franklin","WORKING","Working — No Results Returned","generic","https://franklin-cad.org/","10","50s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Freestone","WORKING","Working — No Results Returned","generic","http://www.freestonecad.org","10","33s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Frio","WORKING","Working — No Results Returned","generic","https://www.friocad.org/","10","55s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Gaines","WORKING","Working — Partial Data","bis","https://esearch.gainescad.org/","65","187s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Galveston","WORKING","Working — Partial Data","bis","https://esearch.galvestoncad.org/","65","151s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Garza","BLOCKED — CAPTCHA","Blocked — Captcha / Bot Protection","bis","https://esearch.garzacad.org/","0","7s","Bot protection — may need manual lookup"
"Gillespie","WORKING","Working — Partial Data","bis","https://esearch.gillespiecad.org/","65","186s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Glasscock","WORKING","Working — No Results Returned","generic","http://glasscockcad.org","10","26s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Goliad","WORKING","Working — No Results Returned","generic","http://www.goliadcad.org/","10","26s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Gonzales","WORKING","Working — No Results Returned","generic","http://www.gonzalescad.org/","10","29s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Gray","BLOCKED — CAPTCHA","Blocked — Captcha / Bot Protection","bis","https://esearch.graycad.org/","0","5s","Bot protection — may need manual lookup"
"Grayson","WORKING","Working — No Results Returned","generic","http://www.graysonappraisal.org/","10","296s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Gregg","BLOCKED — CAPTCHA","Blocked — Captcha / Bot Protection","bis","https://esearch.gcad.org/","0","6s","Bot-blocking 403"
"Grimes","WORKING","Working — No Results Returned","generic","https://grimescad.org/","10","346s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Guadalupe","WORKING","Working — No Results Returned","generic","https://roam.guadalupetx.gov/","10","171s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Hale","WORKING","Working — Partial Data","bis","https://esearch.halecad.org/","65","178s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Hall","WORKING","Working — No Results Returned","generic","http://www.hallcad.org/","10","26s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Hamilton","ISSUE — HANDLER FAIL","Handler Failed","generic","http://www.hamiltoncad.org/","0","73s","Handler error"
"Hansford","WORKING","Working — No Results Returned","generic","https://www.hansfordcad.org/","10","43s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Hardeman","WORKING","Working — No Results Returned","generic","http://www.hardemancad.org/","10","25s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Hardin","WORKING","Working — No Results Returned","generic","http://www.hardin-cad.org/","10","428s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Harris","WORKING","Working — No Results Returned","generic","https://hcad.org/property-search/property-search","10","207s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Harrison","WORKING","Working — Partial Data","publicportal","https://harrisoncad.net/","60","43s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Hartley","WORKING","Working — No Results Returned","isw","http://iswdataclient.azurewebsites.net/webindex.aspx?dbkey=hartleycad&time=201601191610049","10","35s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Haskell","WORKING","Working — No Results Returned","generic","https://www.haskellcad.org/","10","43s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Hays","BLOCKED — CAPTCHA","Blocked — Captcha / Bot Protection","bis","https://esearch.hayscad.com/","0","6s","Bot protection — may need manual lookup"
"Hemphill","WORKING","Working — No Results Returned","generic","http://www.hemphillcad.org/","10","28s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Henderson","WORKING","Working — Partial Data","bis","https://esearch.henderson-cad.org","65","142s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Hidalgo","ISSUE — HANDLER FAIL","Handler Failed","generic","https://hidalgoad.org/","0","167s","Handler error"
"Hill","WORKING","Working — Partial Data","bis","https://esearch.hillcad.org/","65","164s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Hockley","WORKING","Working — No Results Returned","generic","https://hockley.propertytaxpayments.net/search","10","206s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Hood","WORKING","Working — No Results Returned","generic","https://hoodcad.net/","10","360s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Hopkins","BLOCKED — CAPTCHA","Blocked — Captcha / Bot Protection","generic","https://hopkins.propertytaxpayments.net/search","0","12s","propertytaxpayments.net — Cloudflare Turnstile, cannot be automated"
"Houston","WORKING","Working — No Results Returned","generic","http://www.houstoncad.org/","10","28s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Howard","WORKING","Working — Partial Data","bis","https://esearch.howardcad.org/","65","200s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Hudspeth","WORKING","Working — Partial Data","bis","https://esearch.hudspethcad.org/","65","209s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Hunt","ISSUE — HANDLER FAIL","Handler Failed","bis","https://esearch.huntcad.org/","0","192s","Handler error"
"Hutchinson","WORKING","Working — No Results Returned","generic","http://www.hutchinsoncad.org/","10","31s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Irion","ISSUE — HANDLER FAIL","Handler Failed","generic","http://www.taxnetusa.com/texas/irion/","25","127s","Handler error"
"Jack","WORKING","Working — No Results Returned","generic","https://www.jackcad.org/","10","58s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Jackson","WORKING","Working — No Results Returned","generic","http://www.jacksoncad.org/","10","310s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Jasper","WORKING","Working — Partial Data","bis","https://esearch.jaspercad.org/","65","163s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Jeff Davis","WORKING","Working — No Results Returned","generic","http://www.jeffdaviscad.org/","10","29s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Jefferson","WORKING","Working — No Results Returned","generic","http://www.jcad.org/","10","407s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Jim Hogg","WORKING","Working — No Results Returned","generic","http://jimhogg-cad.org/","10","23s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Jim Wells","WORKING","Working — Partial Data","generic","https://jimwellscad.org/","60","40s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Johnson","BLOCKED — CAPTCHA","Blocked — Captcha / Bot Protection","bis","https://esearch.johnsoncad.com/","0","6s","Bot protection — may need manual lookup"
"Jones","WORKING","Working — No Results Returned","generic","http://www.jonescad.org/","10","27s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Karnes","WORKING","Working — No Results Returned","generic","http://www.karnescad.org","10","27s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Kaufman","WORKING","Working — No Results Returned","generic","http://www.kaufman-cad.org/","10","495s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Kendall","WORKING","Working — No Results Returned","generic","http://www.kendallad.org/","10","425s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Kenedy","WORKING","Working — Partial Data","bis","https://esearch.kenedycad.org/","65","108s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Kent","WORKING","Working — No Results Returned","generic","http://www.kentcad.org/","10","28s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Kerr","WORKING","Working — Partial Data","bis","https://esearch.kerrcad.org/","65","151s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Kimble","WORKING","Working — Partial Data","bis","https://esearch.kimblecad.org/","70","298s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"King","WORKING","Working — No Results Returned","generic","http://kingcad.org/","10","26s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Kinney","WORKING","Working — Partial Data","bis","https://esearch.kinneycad.org/","65","241s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Kleberg","WORKING","Working — No Results Returned","trueautomation","https://propaccess.trueautomation.com/clientdb/?cid=24","10","44s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Knox","WORKING","Working — No Results Returned","isw","http://iswdataclient.azurewebsites.net/webindex.aspx?dbkey=knoxcad&time=201601191613039","10","34s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"La Salle","WORKING","Working — Partial Data","publicportal","https://www.lasallecad.com/property-search","60","38s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Lamar","WORKING","Working — Partial Data","bis","https://esearch.lamarcad.org/","65","193s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Lamb","WORKING","Working — Partial Data","bis","https://esearch.lambcad.org/","65","207s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Lampasas","WORKING","Working — Partial Data","bis","https://esearch.lampasascad.com/","65","219s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Lavaca","WORKING","Working — Partial Data","bis","https://esearch.lavacacad.com/","65","158s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Lee","WORKING","Working — No Results Returned","generic","http://www.lee-cad.org/","10","322s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Leon","WORKING","Working — No Results Returned","generic","http://leoncad.org/","10","28s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Liberty","WORKING","Working — No Results Returned","trueautomation","https://propaccess.trueautomation.com/ClientDB/PropertySearch.aspx?cid=8","10","33s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Limestone","WORKING","Working — Partial Data","generic","http://www.limestonecad.com/","60","49s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Lipscomb","WORKING","Working — No Results Returned","isw","http://iswdataclient.azurewebsites.net/webindex.aspx?dbkey=lipscombcad&time=201601191614019","10","34s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Live Oak","WORKING","Working — No Results Returned","generic","http://liveoakappraisal.com/","10","26s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Llano","WORKING","Working — No Results Returned","bis","https://esearch.llanocad.org/","10","236s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Loving","WORKING","Working — No Results Returned","generic","http://lovingcad.org/","10","34s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Lubbock","WORKING","Working — No Results Returned","generic","https://lubbockcad.org/","10","48s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Lynn","WORKING","Working — No Results Returned","generic","http://www.lynncad.org/","10","27s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Madison","WORKING","Working — Partial Data","bis","https://esearch.madisoncad.org/","65","149s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Marion","WORKING","Working — No Results Returned","generic","https://www.marioncountytaxoffice.com/taxes#/","10","271s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Martin","WORKING","Working — No Results Returned","generic","http://www.martincad.org/","10","29s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Mason","WORKING","Working — Partial Data","bis","https://esearch.masoncad.org/","65","81s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Matagorda","WORKING","Working — No Results Returned","generic","http://www.matagorda-cad.org/","10","149s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Maverick","WORKING","Working — Partial Data","generic","http://www.maverickcad.org","60","28s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"McCulloch","WORKING","Working — No Results Returned","generic","http://www.mccullochcad.org/Home/Search","10","25s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"McLennan","WORKING","Working — Partial Data","publicportal","http://www.mclennancad.org/property-search","60","41s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"McMullen","WORKING","Working — Partial Data","bis","https://esearch.mcmullencad.org/","65","228s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Medina","WORKING","Working — Partial Data","bis","https://esearch.medinacad.org/","70","176s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Menard","WORKING","Working — No Results Returned","generic","http://menardcad.org/","10","29s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Midland","WORKING","Working — No Results Returned","generic","https://midcad.org/","10","441s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Milam","BLOCKED — CAPTCHA","Blocked — Captcha / Bot Protection","generic","https://milam.propertytaxpayments.net/SEARCH","0","222s","propertytaxpayments.net — Cloudflare Turnstile, cannot be automated"
"Mills","BLOCKED — CAPTCHA","Blocked — Captcha / Bot Protection","bis","https://esearch.millscad.org/","0","9s","Bot protection — may need manual lookup"
"Mitchell","WORKING","Working — Partial Data","bis","https://esearch.mitchellcad.org/","65","193s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Montague","WORKING","Working — No Results Returned","isw","http://iswdataclient.azurewebsites.net/webindex.aspx?dbkey=montaguecad&time=201601191615055","10","32s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Montgomery","WORKING","Working — Partial Data","generic","https://mcad-tx.org/","60","45s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Moore","WORKING","Working — No Results Returned","bis","https://esearch.moorecad.org/","10","304s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Morris","WORKING","Working — No Results Returned","generic","http://morriscad.com/","10","38s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Motley","BLOCKED — CAPTCHA","Blocked — Captcha / Bot Protection","generic","http://appraisaldistrict.net/countyappraisal.asp?county=Motley","0","10s","Bot protection — may need manual lookup"
"Nacogdoches","WORKING","Working — No Results Returned","generic","http://www.nacocad.org","10","303s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Navarro","WORKING","Working — No Results Returned","generic","http://navarrocad.com/","10","28s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Newton","WORKING","Working — Partial Data","bis","https://esearch.newtoncad.org/","65","216s","Handler working; some data fields may be missing (landValue, taxYear, etc.)"
"Nolan","WORKING","Working — No Results Returned","generic","http://www.nolan-cad.org/","10","26s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Nueces","WORKING","Working — No Results Returned","bis","https://esearch.nuecescad.com/","10","357s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Ochiltree","WORKING","Working — No Results Returned","generic","https://www.ochiltreecad.org/","10","44s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Oldham","BLOCKED — CAPTCHA","Blocked — Captcha / Bot Protection","bis","https://esearch.oldhamcad.org/","0","32s","Bot protection — may need manual lookup"
"Orange","BLOCKED — CAPTCHA","Blocked — Captcha / Bot Protection","generic","https://orange.propertytaxpayments.net/search","0","9s","propertytaxpayments.net — Cloudflare Turnstile, cannot be automated"
"Palo Pinto","ISSUE — NO URL","No URL Configured","unknown","","0","","No search URL configured — needs manual research"
"Panola","WORKING","Working — No Results Returned","generic","http://panolacad.org","10","28s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
"Parker","WORKING","Working — No Results Returned","generic","https://www.southwestdatasolution.com/webindex.aspx?dbkey=PARKERCAD&time=202602101456013","10","35s","Handler ran OK; site returned 0 matches for test name (Smith). Live addresses should work."
